dataset,seed,pipe,M1_nll,M2_mmd,M3_marg_w1,M4_c2st,acc,f1,ece
EEG,2,mean+yeojohnson,0.5267504453659058,1.0004070004070005,0.797340718754109,0.4847374847374848,0.7924297924297924,0.7860896017699115,0.1475576348648257
EEG,2,mean+yeojohnson+zscore,0.3991409242153168,0.0594071090112051,0.2486108907577265,0.4772007714620658,0.8107448107448108,0.8070055414927824,0.0193863148654336
EEG,2,mean+winsor+yeojohnson,0.5300194621086121,0.3184805919580279,0.6594295540380275,0.4823764848184872,0.7753357753357754,0.769436964504284,0.1083481796495207
EEG,2,mean+winsor+yeojohnson+zscore,0.4144589304924011,0.0221402824529843,0.1369203384530432,0.4747806347317946,0.8070818070818071,0.8041025796294053,0.0191705088621239
EEG,2,mean+quantile,0.4075671732425689,0.0216831324158728,0.0276599032087949,0.4729483874783021,0.8144078144078144,0.8113063407181054,0.0208004747263823
EEG,2,mean+quantile+zscore,0.4072768688201904,0.0216831324158728,0.0276599032087949,0.4729483874783021,0.8168498168498168,0.8136694008299561,0.0229507077744592
EEG,2,mean+winsor+quantile,0.4301798939704895,0.0639495881082796,0.3265849356991253,0.4810655360105909,0.8058608058608059,0.8026790111297153,0.0250424239079448
EEG,2,mean+winsor+quantile+zscore,0.4308611452579498,0.0639495881082796,0.3265849356991253,0.4810655360105909,0.8095238095238095,0.8065822938113116,0.0226647383709675
EEG,2,median,0.3906146287918091,0.0671056582753223,0.2712927689179824,0.4775660282375789,0.8168498168498168,0.8131661232236714,0.0197553554588476
EEG,2,median+zscore,0.3909894227981567,0.0671056582753225,0.2712927689179824,0.4775660282375789,0.8241758241758241,0.8206394782947245,0.026477093006665
EEG,2,median+winsor,0.4116376638412475,0.023425210254002,0.149240029249651,0.4755643217181679,0.8168498168498168,0.8135472316658572,0.0305361716447441
EEG,2,median+winsor+zscore,0.4086240828037262,0.0234252102540021,0.149240029249651,0.4755643217181679,0.8217338217338217,0.818519305488101,0.0339763911215813
EEG,2,median+yeojohnson,0.5198114514350891,1.0004070004070005,0.7973407187541095,0.4847374847374848,0.8083028083028083,0.8031903902580139,0.1623730663851504
EEG,2,median+yeojohnson+zscore,0.3863470256328583,0.0611652569624377,0.2600490929999971,0.4771326895869021,0.8229548229548229,0.8198216650963364,0.0263373020658853
EEG,2,median+winsor+yeojohnson,0.5325468182563782,0.3921350057264371,0.7064232494400808,0.4873385105375338,0.7582417582417582,0.7520913593835994,0.0913109883429512
EEG,2,median+winsor+yeojohnson+zscore,0.4140386879444122,0.0227406268333684,0.1483063341103071,0.4752582017539282,0.8168498168498168,0.8141339869281046,0.0331923516969831
EEG,2,median+quantile,0.3966462910175323,0.0215723902899483,0.030024328876475,0.4738816558108378,0.8192918192918193,0.8155270655270656,0.036906855301397
EEG,2,median+quantile+zscore,0.399118423461914,0.0215723902899483,0.030024328876475,0.4738816558108378,0.818070818070818,0.814214180991631,0.0304104235291626
EEG,2,median+winsor+quantile,0.4248307645320892,0.0636232223610259,0.3307368523584716,0.4814601127177439,0.8046398046398047,0.8016228654474991,0.0160737633705139
EEG,2,median+winsor+quantile+zscore,0.4207578003406524,0.0636232223610259,0.3307368523584716,0.4814601127177439,0.8131868131868132,0.8102435500797296,0.0249514131464509
EEG,2,knn,0.3120186924934387,0.0787531432788958,0.2349083768264974,0.4761218973673186,0.8705738705738706,0.8681519956260251,0.0258525323227357
EEG,2,knn+zscore,0.3051571249961853,0.0787531432788962,0.234908376826499,0.4761218973673186,0.8791208791208791,0.877139761646804,0.0279466316231295
EEG,2,knn+winsor,0.3212068676948547,0.0379956593145648,0.122844360380768,0.4762839024133285,0.8693528693528694,0.8668630558007466,0.030567467431009
EEG,2,knn+winsor+zscore,0.3207870721817016,0.037995659314565,0.1228443603807683,0.4762839024133285,0.8693528693528694,0.8669528027316025,0.0266495274245666
EEG,2,knn+yeojohnson,0.4577286839485168,1.0004070004070005,0.7973407187541092,0.4847374847374848,0.8644688644688645,0.8616943428088939,0.1818093717898786
EEG,2,knn+yeojohnson+zscore,0.3055833578109741,0.0728256017539552,0.2241192932010297,0.4759743038131316,0.8754578754578755,0.8732121175327829,0.0208527022229009
EEG,2,knn+winsor+yeojohnson,0.4655728042125702,1.0004070004070005,0.7973407187541021,0.4847374847374848,0.8547008547008547,0.8511784511784513,0.1743969516294197
EEG,2,knn+winsor+yeojohnson+zscore,0.3200441300868988,0.0367289098579627,0.116571829163568,0.4758187590910424,0.8681318681318682,0.8655728337122639,0.0198070877055399
EEG,2,knn+quantile,0.3139892220497131,0.0319589852444557,0.0133212418036749,0.4752666498698244,0.8766788766788767,0.8744964701705515,0.0225068736134576
EEG,2,knn+quantile+zscore,0.3134509027004242,0.0319589852444557,0.0133212418036749,0.4752666498698244,0.8742368742368742,0.8719265297322902,0.0224320881969326
EEG,2,knn+winsor+quantile,0.3415637612342834,0.0924169321182323,0.2967185182365607,0.4809313600522391,0.8473748473748474,0.8449702206533739,0.0121422281195392
EEG,2,knn+winsor+quantile+zscore,0.3431339859962463,0.0924169321182322,0.2967185182365606,0.4809313600522391,0.8473748473748474,0.8447746484212122,0.0121492782791892
EEG,3,mean,0.4385334253311157,0.2116364821805173,0.4529467812755671,0.4819133292881767,0.8046398046398047,0.7998264673893118,0.024298555830605
EEG,3,mean+zscore,0.4413659572601318,0.2116364821805177,0.4529467812755664,0.4819133292881767,0.8034188034188035,0.7986531986531986,0.0160737451761778
EEG,3,mean+winsor,0.4479327499866485,0.0217989090671103,0.1348054389239552,0.4756875648206539,0.78998778998779,0.7856125356125356,0.0166840874959552
EEG,3,mean+winsor+zscore,0.4488419592380523,0.0217989090671101,0.1348054389239547,0.4756875648206539,0.7814407814407814,0.7766457787711336,0.0243547991081908
EEG,3,mean+yeojohnson,0.5373912453651428,0.3922607957139371,0.7047835966458804,0.4765537451740138,0.7667887667887668,0.7572926703252203,0.1144666747441367
EEG,3,mean+yeojohnson+zscore,0.4538416862487793,0.0998857136862319,0.319096004174362,0.4789718941123093,0.7802197802197802,0.7756410256410257,0.0231880426989079
EEG,3,mean+winsor+yeojohnson,0.5375866889953613,0.3956135087035874,0.7059615241364724,0.4807897298739789,0.7716727716727717,0.7633039433115162,0.1093847002010787
EEG,3,mean+winsor+yeojohnson+zscore,0.4559558629989624,0.0213713769922363,0.1343519852638033,0.4758207468830179,0.7802197802197802,0.7756410256410257,0.0144685157489427
EEG,3,mean+quantile,0.4440292716026306,0.021237744794502,0.0274588197782099,0.4770844856314942,0.7887667887667887,0.7844425342877355,0.0094577725408132
EEG,3,mean+quantile+zscore,0.4431006610393524,0.021237744794502,0.0274588197782099,0.4770844856314942,0.78998778998779,0.785301469243431,0.0155572285000075
EEG,3,mean+winsor+quantile,0.466396301984787,0.0586119625368032,0.3286786436446348,0.4766625767846769,0.7814407814407814,0.7763131594406341,0.0183141008110418
EEG,3,mean+winsor+quantile+zscore,0.4660217463970184,0.0586119625368032,0.3286786436446348,0.4766625767846769,0.7851037851037851,0.779978508279197,0.0158250560399522
EEG,3,median,0.4263505041599273,0.2148994355811218,0.4628152128786813,0.482510660776839,0.8131868131868132,0.8094957925702948,0.0272335328607477
EEG,3,median+zscore,0.4300411939620971,0.2148994355811218,0.4628152128786812,0.482510660776839,0.8095238095238095,0.8056927681526183,0.0208608155139927
EEG,3,median+winsor,0.4430514276027679,0.0224321847443825,0.1487849627433117,0.4764503799912836,0.7887667887667887,0.7850286073218358,0.0250297385257678
EEG,3,median+winsor+zscore,0.442037433385849,0.0224321847443825,0.148784962743311,0.4764503799912836,0.7912087912087912,0.7873731707205983,0.0137512998994307
EEG,3,median+yeojohnson,0.5251054167747498,0.3932296991041682,0.7064067550440207,0.4764309990195216,0.7863247863247863,0.7782805429864253,0.1321327123013171
EEG,3,median+yeojohnson+zscore,0.4389697909355163,0.1021597372238902,0.3263893880230505,0.479771980382481,0.800976800976801,0.7966104018977362,0.0283871058724884
EEG,3,median+winsor+yeojohnson,0.5339478254318237,0.3957920168007336,0.7062874463348459,0.4809860243315677,0.7655677655677655,0.7573183529847521,0.1037440087477947
EEG,3,median+winsor+yeojohnson+zscore,0.4437964260578155,0.0218781422359181,0.1478623751331478,0.4763276338367914,0.78998778998779,0.7860579551667578,0.0165794764682923
EEG,3,median+quantile,0.4289250373840332,0.0212121159212953,0.0296016709701939,0.4765120015425266,0.8058608058608059,0.8021609894609225,0.0087988938458527
EEG,3,median+quantile+zscore,0.4288139343261719,0.0212121159212952,0.0296016709701939,0.4765120015425266,0.8070818070818071,0.8033380345049788,0.0121864652459001
EEG,3,median+winsor+quantile,0.4501616358757019,0.0582139109070461,0.3326578442979824,0.4760736934119107,0.7875457875457875,0.7839954163483576,0.0205173753702305
EEG,3,median+winsor+quantile+zscore,0.4491082429885864,0.0582139109070461,0.3326578442979823,0.4760736934119107,0.7948717948717948,0.7914438502673797,0.0246636689946473
EEG,3,knn,0.3180531561374664,0.2196391424946048,0.4303968698585857,0.4853407796020739,0.8608058608058609,0.8580062536499902,0.0240350912196586
EEG,3,knn+zscore,0.3136437237262726,0.2196391424946045,0.430396869858585,0.4853407796020739,0.8669108669108669,0.864186336632157,0.008303129483783
EEG,3,knn+winsor,0.3290136158466339,0.0367038399897461,0.1232104321973135,0.4804826160137516,0.8669108669108669,0.8642813162755696,0.0211421146497622
EEG,3,knn+winsor+zscore,0.3262001872062683,0.0367038399897465,0.1232104321973147,0.4804826160137516,0.8583638583638583,0.8555151352929725,0.0284958117901914
EEG,3,knn+yeojohnson,0.466913640499115,0.3949873798322432,0.7000559754575804,0.4752408085741419,0.833943833943834,0.8285703731977295,0.1578156503420027
EEG,3,knn+yeojohnson+zscore,0.3475360572338104,0.1097407832664838,0.2983628330135378,0.4838211126367415,0.8547008547008547,0.8512919886784104,0.02231229173977
EEG,3,knn+winsor+yeojohnson,0.4635063707828522,1.0004070004070005,0.7973407187541011,0.4855514855514856,0.8522588522588522,0.8474097113689381,0.1706704284827497
EEG,3,knn+winsor+yeojohnson+zscore,0.3322659134864807,0.0353782198875839,0.1169456974295569,0.4802112824090845,0.8608058608058609,0.8581046578073898,0.0197040279269655
EEG,3,knn+quantile,0.3127060830593109,0.0315966168310846,0.0131227636219931,0.4805457284089763,0.8681318681318682,0.8654796087210435,0.0150524169679671
EEG,3,knn+quantile+zscore,0.3165377378463745,0.0315966168310846,0.0131227636219931,0.4805457284089763,0.8620268620268621,0.8591020298795591,0.0072062102866259
